entity1,entity2,sentence,is_sentence_valid,doc_id,doc_title,doc_url,doc_source,date_published,entity1_input,entity2_input,sentence_entity,vec,old_sentence
ly3009120,braf,"Similarly, Peng et al reported the development of LY3009120, a pan-RAF inhibitor that binds simultaneously to two sites of BRAF dimers and equally inhibits all RAF isoforms (ARAF, BRAF, CRAF) with similar affinity [ 25 – 29 ].",True,92953300,Acquired BRAF rearrangements induce secondary resistance to EGFR therapy in EGFR -mutated lung cancers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6486868/,pmc,1551398400.0,LY3009120,BRaf,"Similarly, Peng et al reported the development of @entitya$ , a pan-RAF inhibitor that binds simultaneously to two sites of @entityb$ dimers and equally inhibits all RAF isoforms (ARAF, @entityb$ , CRAF) with similar affinity [ 25 – 29 ].","[-0.7187324  -0.3205457   0.29959294 ...  0.5147854  -0.25175652
 -0.02621208]",14
minocycline,angiostatin,"SU11248 (Sunitinib malate), VEGF-Trap, XL184, ZD6474, ATN-161, EMD 121974 (Cilenigtide), Celecoxib, Angiostatin, Endostatin, Regranex, Apligraf, Paclitaxel, tetracyclines, clarithromycin, lasix, captopril, aspirin, Vitamin D3 analogs, retinoids, Imiquomod, Interferon alfa2a, Minocycline, copper peptide containing dressings, Lucentis™, ATG002, Pegaptanib Sodium, Tryptophanyl-tRNA synthetase, squalamine lactate,",True,60553969,ANGIOGENESIS INHIBITORS,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120190659%22.PGNR.&OS=DN/20120190659&RS=DN/20120190659,patent_filed,1343260800.0,Minocycline,Angiostatin,"SU11248 (Sunitinib malate), VEGF-Trap, XL184, ZD6474, ATN-161, EMD 121974 (Cilenigtide), Celecoxib, @entityb$ , Endostatin, Regranex, Apligraf, Paclitaxel, tetracyclines, clarithromycin, lasix, captopril, aspirin, Vitamin D3 analogs, retinoids, Imiquomod, Interferon alfa2a, @entitya$ , copper peptide containing dressings, Lucentis™, ATG002, Pegaptanib Sodium, Tryptophanyl-tRNA synthetase, squalamine lactate,","[ 0.22931132  0.20528841 -0.15262549 ...  0.31773257 -0.13730101
  0.38687187]",14
ly3009120,braf,"study, we found that combinatory treatment with LY3009120 and abemaciclib synergistically inhibited proliferation of tumor cells in vitro and led to tumor growth regression in xenograft models with a KRAS , NRAS or BRAF mutation at the doses of two drugs",True,110652918,RAF inhibitor LY3009120 sensitizes RAS or BRAF mutant cancer to CDK4/6 inhibition by abemaciclib via superior inhibition of phospho-RB and suppression of cyclin D1,https://www.nature.com/articles/onc2017384,nature,1508709600.0,LY3009120,BRAF,"study, we found that combinatory treatment with @entitya$ and abemaciclib synergistically inhibited proliferation of tumor cells in vitro and led to tumor growth regression in xenograft models with a KRAS , NRAS or @entityb$ mutation at the doses of two drugs","[ 0.7494477  -0.38679656  0.6112379  ...  0.529278   -0.04733681
  0.50773686]",14
ly3009120,braf,"cited by applicant Henry et al. Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea (LY3009120) as a pan-RAF inhibitor with minimal paradoxical activation and activity against BRAF or RAS mutant tumor cells.",True,99491087,Inhibitors of RAF kinases,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10927111&OS=10927111&RS=10927111,patent_grant,1614038400.0,LY3009120,BRAF,"cited by applicant Henry et al. Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea ( @entitya$ ) as a pan-RAF inhibitor with minimal paradoxical activation and activity against @entityb$ or RAS mutant tumor cells.","[ 0.0423195  -0.36543486  0.88468456 ...  0.19683506  0.04962851
  0.18724275]",14
trifluoperazine,tfp,"Trifluoperazine (TFP) is used as an antipsychotic and an antiemetic, and it has been found to inhibit lung CSC spheroid formation ability",True,69247000,Emerging agents that target signaling pathways in cancer stem cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7249421/,pmc,1590451200.0,trifluoperazine,TFP," @entitya$ ( @entityb$ ) is used as an antipsychotic and an antiemetic, and it has been found to inhibit lung CSC spheroid formation ability","[-0.3207992  -0.10503367 -0.28531095 ... -0.05508311 -0.11061683
 -0.3683786 ]",14
3m_052,tlr7,"Example includes imidazoquinoline family of TLR7/8 Ligands (e.g. imiquimod(R837), gardiquimod, resiquimod (R848), 3M-052, 3M-852, 3M-S-34240), CpG ODNs such as ODN 1826 and ODN 2216, TLR agonist including TLR peptide agonist",True,87074894,Methods and agents to treat tumor cells and cancer,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220190160174%22.PGNR.&OS=DN/20190160174&RS=DN/20190160174,patent_filed,1559174400.0,3M-052,TLR7,"Example includes imidazoquinoline family of @entityb$ /8 Ligands (e.g. imiquimod(R837), gardiquimod, resiquimod (R848), @entitya$ , 3M-852, 3M-S-34240), CpG ODNs such as ODN 1826 and ODN 2216, TLR agonist including TLR peptide agonist","[-0.9276796  -0.11024384 -1.0172722  ...  0.07344787 -0.32587114
  0.74768364]",15
nalbuphine,mor,"compare effects on ICSS produced by repeated daily treatment with MOR agonists that ranged from low to high efficacy in stimulating MOR-coupled G-protein signaling (from lowest to highest efficacy: NAQ, nalbuphine, buprenorphine, fentanyl, methadone) ( Emmerson et al., 1996 ; Li",True,18447144,Role of Agonist Efficacy in Exposure-Induced Enhancement of Mu Opioid Reward in Rats,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6500752/,pmc,1552521600.0,nalbuphine,MOR,"compare effects on ICSS produced by repeated daily treatment with @entityb$ agonists that ranged from low to high efficacy in stimulating MOR-coupled G-protein signaling (from lowest to highest efficacy: NAQ, @entitya$ , buprenorphine, fentanyl, methadone) ( Emmerson et al., 1996 ; Li","[ 0.46836293 -0.15363279 -0.4680347  ...  0.08767208  0.06584074
  0.8247359 ]",15
ly3009120,braf,"searching of cell line databases identified one additional cell line, OV-90, an ovarian adenocarcinoma with a similar BRAF N486-P490 deletion, and sensitive to LY3009120, but not vemurafenib.",True,62900787,Oncogenic BRAF Deletions That Function as Homodimers and Are Sensitive to Inhibition by RAF Dimer Inhibitor LY3009120.,https://www.ncbi.nlm.nih.gov/pubmed/26732095,pubmed,1459288800.0,LY3009120,BRAF,"searching of cell line databases identified one additional cell line, OV-90, an ovarian adenocarcinoma with a similar @entityb$ N486-P490 deletion, and sensitive to @entitya$ , but not vemurafenib.","[-0.21762203  0.23850948 -0.3965569  ... -0.2503874   0.5402196
  0.40898016]",15
digoxin,ace,"result discussed above may lead the physician to continue, increase, or modify treatment (e.g., increase the dosage of diuretic, ACE inhibitor, digoxin, β-blocker, calcium channel blocker, and/or vasodialtor, or even consider surgical intervention) because of the false impression that current therapy",True,110755034,Methods and compositions for measuring natriuretic peptides and uses thereof,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=07524635&OS=07524635&RS=07524635,patent_grant,1240876800.0,digoxin,ACE,"result discussed above may lead the physician to continue, increase, or modify treatment (e.g., increase the dosage of diuretic, @entityb$ inhibitor, @entitya$ , β-blocker, calcium channel blocker, and/or vasodialtor, or even consider surgical intervention) because of the false impression that current therapy","[ 0.8371502  -0.34189335 -0.30001703 ... -0.318434    0.45971522
  0.22023621]",15
trifluoperazine,tfp,"junctions, we exposed guinea-pig seminiferous tubules to the presence of a Ca2+ chelator (EGTA) and to a calmodulin blocker (Trifluoperazine, TFP) in vitro, for times ranging from 30 to 120 min.",True,88394587,Evidence that a Ca2+ chelator and a calmodulin blocker interfere with the structure of inter-Sertoli junctions.,https://www.ncbi.nlm.nih.gov/pubmed/3923652,pubmed,486252000.0,trifluoperazine,TFP,"junctions, we exposed guinea-pig seminiferous tubules to the presence of a Ca2+ chelator (EGTA) and to a calmodulin blocker ( @entitya$ , @entityb$ ) in vitro, for times ranging from 30 to 120 min.","[ 0.02416669  0.09992489 -0.0191389  ...  0.01768691 -0.71277755
  0.5077761 ]",15
flurazepam,gaba_a receptor,"kinetics [ 145 ] Enasidenib Acute myeloid leukemia Inhibitor IDH2 In silico: Binding free energy, conformational change [ 146 ] Flurazepam Insomnia Activator GABA-A receptor Site-directed mutagenesis.",True,47797217,Integrated Computational Approaches and Tools for Allosteric Drug Discovery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7036869/,pmc,1580169600.0,Flurazepam,GABA A Receptor,"kinetics [ 145 ] Enasidenib Acute myeloid leukemia Inhibitor IDH2 In silico: Binding free energy, conformational change [ 146 ] @entitya$ Insomnia Activator @entityb$ Site-directed mutagenesis.","[-0.45171398  0.02128632 -0.12454128 ...  0.6887835  -0.21927245
  0.9809748 ]",18
digoxin,ace,Our experience suggests that treatment of anthracycline-induced CHF with an ACE inhibitor should start soon after clinical improvement on digoxin/diuretic regardless of the severity of symptoms rather than waiting for clinical deterioration.,True,61263166,Treatment with angiotensin-converting-enzyme inhibitor for epirubicin-induced dilated cardiomyopathy.,https://www.ncbi.nlm.nih.gov/pubmed/8569365,pubmed,823302000.0,digoxin,ACE,Our experience suggests that treatment of anthracycline-induced CHF with an @entityb$ inhibitor should start soon after clinical improvement on @entitya$ /diuretic regardless of the severity of symptoms rather than waiting for clinical deterioration.,"[ 0.3914903   0.13333088 -0.2349392  ...  0.32049716  0.0412574
 -0.07984693]",18
ly3009120,braf,"Thus, for the avoidance of doubt, where vemurafenib, dabrafenib, sorafenib, encorafenib, RAF265, AD80, GDC0879, AZ628, ZM336372, NVPBHG712, LY3009120, TAK632, MLN2480, or XP102 is referenced, it is disclosed that BRAF inhibitors can be used generally or other specific types of BRAF inhibitors can also be used.",True,32886624,Combinations to treat cancer,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10869879&OS=10869879&RS=10869879,patent_grant,1608595200.0,LY3009120,BRAF,"Thus, for the avoidance of doubt, where vemurafenib, dabrafenib, sorafenib, encorafenib, RAF265, AD80, GDC0879, AZ628, ZM336372, NVPBHG712, @entitya$ , TAK632, MLN2480, or XP102 is referenced, it is disclosed that @entityb$ inhibitors can be used generally or other specific types of @entityb$ inhibitors can also be used.","[-0.50998026 -0.16721089  0.00072219 ...  0.5987673  -0.24249412
  0.4867233 ]",18
ly3009120,braf,"ChEMBL 1495613 In vivo inhibition of BRAF V600E mutant in human A375 cells xenografted in po dosed athymic nu/nu mouse assessed as inhibition of ERK phosphorylation by ELISA Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea (LY3009120) as a pan-RAF inhibitor with minimal paradoxical activation and activity against BRAF or RAS mutant tumor cells.",True,25608730,In vivo inhibition of BRAF V600E mutant in human A375 cells xenografted in po dosed athymic nu/nu mouse assessed as inhibition of ERK phosphorylation by ELISA,https://pubchem.ncbi.nlm.nih.gov/bioassay/1226881,bioassay,,LY3009120,BRaf,"ChEMBL 1495613 In vivo inhibition of @entityb$ V600E mutant in human A375 cells xenografted in po dosed athymic nu/nu mouse assessed as inhibition of ERK phosphorylation by ELISA Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea ( @entitya$ ) as a pan-RAF inhibitor with minimal paradoxical activation and activity against @entityb$ or RAS mutant tumor cells.","[ 0.01848013 -0.12105118  0.08855572 ...  0.18253313 -0.27890387
  0.3749621 ]",18
digoxin,ace,"agents for treating heart failure selected from the group consisting of an angiotensin converting enzyme (ACE) inhibitor, an angiotensin II receptor blocker (ARB), a beta-blocker, digoxin, a diuretic, a blood vessel dilator, potassium, magnesium, an aldactone inhibitor, a calcium channel blocker,",True,91864766,AGONISTS OF HYPOCRETIN RECEPTOR 2 FOR USE FOR TREATING HEART FAILURE,https://data.epo.org/publication-server/rest/v1.2/patents/EP3068783NWB1/document.html,epo,1600812000.0,digoxin,ACE,"agents for treating heart failure selected from the group consisting of an angiotensin converting enzyme ( @entityb$ ) inhibitor, an angiotensin II receptor blocker (ARB), a beta-blocker, @entitya$ , a diuretic, a blood vessel dilator, potassium, magnesium, an aldactone inhibitor, a calcium channel blocker,","[-0.10019322 -0.17455061 -0.37640932 ...  0.50909394 -0.5619605
  0.08931942]",18
3m_052,tlr7,"In certain embodiments, the TLR7/8 agonist is a compound of the following structure or pharmaceutically acceptable salts thereof: In certain preferred embodiments, a TLR7/8 agonist used in the compositions herein comprises a N-(4-{[4-amino-2-butyl-1H-imidazo[4,5-c]quinolin-1-yl]oxy}butyl)octadecanamide), 3M-052 as described in U.S. Pat.",True,90468986,Formulation Containing TLR Agonist and Methods of Use,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220190142935%22.PGNR.&OS=DN/20190142935&RS=DN/20190142935,patent_filed,1557964800.0,3M-052,TLR7,"In certain embodiments, the @entityb$ /8 agonist is a compound of the following structure or pharmaceutically acceptable salts thereof: In certain preferred embodiments, a @entityb$ /8 agonist used in the compositions herein comprises a N-(4-{[4-amino-2-butyl-1H-imidazo[4,5-c]quinolin-1-yl]oxy}butyl)octadecanamide), @entitya$ as described in U.S. Pat.","[-0.7765491   0.0397518   0.0522378  ...  0.5802904  -0.6207236
  0.41361725]",21
thyroxine,thyroid hormone receptor,"cited by applicant Davis et al., “Thyroxine Promotes Association of Mitogen-activated Protein Kinase and Nuclear Thyroid Hormone Receptor (TR) and Causes Serine Phosphorylation of TR”, J. Biol.",True,113374699,Composition of scalable thyrointegrin antagonists with improved blood brain barrier penetration and retention into brain tumors,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10961204&OS=10961204&RS=10961204,patent_grant,1617062400.0,thyroxine,thyroid hormone receptor,"cited by applicant Davis et al., “ @entitya$ Promotes Association of Mitogen-activated Protein Kinase and Nuclear @entityb$ (TR) and Causes Serine Phosphorylation of TR”, J. Biol.","[-0.59899175 -0.84876835 -0.12319385 ...  0.33448252  0.6463188
  0.5624572 ]",21
ly3009120,braf,"Examination of an additional BRAF mut xenograft model, HT-29, confirmed the in vivo efficacy of LY3009120 (delta(T/C)= 40%, p < 0.001) in a BRAF mut CRC setting (Figure ​ (Figure5A, 5A , lower left panel ), while LY3009120-treatment of Colo 320HSR ( KRAS WT /BRAF WT ) indicated lack of in vivo efficacy in a KRAS WT /BRAF WT xenograft model (Figure ​ (Figure5A, 5A , lower right panel ).",True,44961836,"LY3009120, a panRAF inhibitor, has significant anti-tumor activity in BRAF and KRAS mutant preclinical models of colorectal cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5354729/,pmc,1481846400.0,LY3009120,BRAF,"Examination of an additional @entityb$ mut xenograft model, HT-29, confirmed the in vivo efficacy of @entitya$ (delta(T/C)= 40%, p < 0.001) in a @entityb$ mut CRC setting (Figure ​ (Figure5A, 5A , lower left panel ), while LY3009120-treatment of Colo 320HSR ( KRAS WT / @entityb$ WT ) indicated lack of in vivo efficacy in a KRAS WT / @entityb$ WT xenograft model (Figure ​ (Figure5A, 5A , lower right panel ).","[ 0.19076854 -0.3191792   0.22623152 ... -0.27657175  0.47939444
 -0.89116687]",21
loxo_101,trk,"Six patients, all with TRK fusion cancers unresponsive to current therapies, reported tumor shrinkage following treatment with Loxo's drug LOXO-101.",True,74533818,Loxo Cancer Drug Targets Gene Mutation With Durable Responses in Early Study,https://www.thestreet.com/story/13533127/1/loxo-cancer-drug-targets-gene-mutation-with-durable-responses-in-early-study.html,thestreet,1460909820.0,LOXO-101,TRK,"Six patients, all with @entityb$ fusion cancers unresponsive to current therapies, reported tumor shrinkage following treatment with Loxo's drug @entitya$ .","[ 0.3812212  -0.96197975 -0.29266343 ...  0.4324265   0.32922232
  0.35023227]",21
tesamorelin,growth hormone releasing factor,"octreotide (C2L), octreotide QLT, octreotide LAR, Sandostatin LAR, SomaLAR, Somatuline (lanreotide), see, e.g., Deghenghi et al. Endocrine 14:29 ; TH9507 (Tesamorelin, a growth hormone-releasing factor); POL7080 (a protegrin analog, an anti-microbial peptide); relaxin; a corticotropin releasing factor agonist such as urotensin, sauvagine, and",True,40496034,HYDRAZINYL-INDOLE COMPOUNDS AND CONJUGATES,https://data.epo.org/publication-server/rest/v1.2/patents/EP2920167NWB1/document.html,epo,1571176800.0,Tesamorelin,Growth Hormone-Releasing Factor,"octreotide (C2L), octreotide QLT, octreotide LAR, Sandostatin LAR, SomaLAR, Somatuline (lanreotide), see, e.g., Deghenghi et al. Endocrine 14:29 ; TH9507 ( @entitya$ , a @entityb$ ); POL7080 (a protegrin analog, an anti-microbial peptide); relaxin; a corticotropin releasing factor agonist such as urotensin, sauvagine, and","[ 0.1906415  -0.16620876  0.01790985 ...  0.8628809  -0.7451884
  0.8753789 ]",21
betahistine,h_1,poisoning Histamine antagonist References External links DrugBank EXPT01785 Histamine and Histamine intolerance v t e Histamine receptor modulators H 1 Agonists: 2-Pyridylethylamine Betahistine Histamine HTMT L -Histidine UR-AK49 Antagonists: First-generation: 4-Methyldiphenhydramine Alimemazine Antazoline Azatadine Bamipine Benzatropine (benztropine) Bepotastine Bromazine Brompheniramine Buclizine Captodiame,True,83321,Histamine,https://www.wikidoc.org/index.php/Histamine,wikidoc,,betahistine,H 1,poisoning Histamine antagonist References External links DrugBank EXPT01785 Histamine and Histamine intolerance v t e Histamine receptor modulators @entityb$ Agonists: 2-Pyridylethylamine @entitya$ Histamine HTMT L -Histidine UR-AK49 Antagonists: First-generation: 4-Methyldiphenhydramine Alimemazine Antazoline Azatadine Bamipine Benzatropine (benztropine) Bepotastine Bromazine Brompheniramine Buclizine Captodiame,"[-0.8563395  -0.06164317  0.17927371 ...  0.88075    -0.49902803
 -0.08784653]",23
minocycline,angiostatin,"herbimycin A, PNU145156E, 16K prolactin fragment, Linomide (roquinimex), thalidomide, pentoxifylline, genistein, TNP-470, endostatin, paclitaxel, accutin, angiostatin, cidofovir, vincristine, bleomycin, AGM-1470, platelet factor 4 or minocycline may be of use.",True,43018280,Strategies for improved cancer vaccines,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=08562988&OS=08562988&RS=08562988,patent_grant,1382400000.0,Minocycline,Angiostatin,"herbimycin A, PNU145156E, 16K prolactin fragment, Linomide (roquinimex), thalidomide, pentoxifylline, genistein, TNP-470, endostatin, paclitaxel, accutin, @entityb$ , cidofovir, vincristine, bleomycin, AGM-1470, platelet factor 4 or @entitya$ may be of use.","[ 0.10675035  0.13392891  0.6461922  ...  0.4957294  -0.30910027
  0.34856427]",23
ly3009120,braf,"(A) cUC cells (Sora) were treated with vehicle (dimethyl sulfoxide; Cont) and inhibitors of BRAF (Dabrafenib; Dab), pan-RAF (LY3009120; LY), MEK (PD0325901; PD), and ERK (SCH772984; SCH) at 1 μM for indicated time.",True,101691859,Aberrant expression of the COX2/PGE2 axis is induced by activation of the RAF/MEK/ERK pathway in BRAFV595E canine urothelial carcinoma,https://www.biorxiv.org/content/10.1101/786095v1,biorxiv,1569880800.0,LY3009120,BRaf,"(A) cUC cells (Sora) were treated with vehicle (dimethyl sulfoxide; Cont) and inhibitors of @entityb$ (Dabrafenib; Dab), pan-RAF ( @entitya$ ; LY), MEK (PD0325901; PD), and ERK (SCH772984; SCH) at 1 μM for indicated time.","[-0.4788009   0.32407334  0.07464536 ... -0.76164335 -0.49761128
  0.62455237]",23
minocycline,angiostatin,"Medi-522 (Vitaxin II), CAI, interleukin 12, IM862, amiloride, angiostatin, Kl-3 angiostatin, Kl-5 angiostatin, Captopril, DL-alpha-difluoromethylornithine, DL-alpha-difluoromethylornithine HCl, endostatin, fumagillin, herbimycin A, 4-hydroxyphenylretinamide, juglone, laminin, laminin hexapeptide, laminin pentapeptide, lavendustin A, medroxyprogesterone, minocycline, placenta ribonuclease inhibitor, suramin, thrombospondin, antibodies directed against proangiogenic",True,104273493,S100A4 ANTIBODIES AND THERAPEUTIC USES THEREOF,https://data.epo.org/publication-server/rest/v1.2/patents/EP2580240NWB1/document.html,epo,1543359600.0,Minocycline,Angiostatin,"Medi-522 (Vitaxin II), CAI, interleukin 12, IM862, amiloride, @entityb$ , Kl-3 @entityb$ , Kl-5 @entityb$ , Captopril, DL-alpha-difluoromethylornithine, DL-alpha-difluoromethylornithine HCl, endostatin, fumagillin, herbimycin A, 4-hydroxyphenylretinamide, juglone, laminin, laminin hexapeptide, laminin pentapeptide, lavendustin A, medroxyprogesterone, @entitya$ , placenta ribonuclease inhibitor, suramin, thrombospondin, antibodies directed against proangiogenic","[ 0.00896507 -0.04516127  0.04292685 ...  0.9066826  -0.08315937
  0.12693326]",23
minocycline,angiostatin,"including indomethacin and sulindac; tetracycline derivatives including minocycline; thalidomide and thalidomide analogs and derivatives; 2-methoxyestradiol; tumor necrosis factor-alpha; interferon-gamma-inducible protein 10 (IP-10); interleukin 1 and interleukin 12; interferon alpha, beta or gamma; angiostatin protein or plasminogen fragments; endostatin protein or collagen",True,7759759,METHODS FOR OPTIMIZING ELECTROPORATION,https://data.epo.org/publication-server/rest/v1.2/patents/EP2310500NWB1/document.html,epo,1426028400.0,Minocycline,Angiostatin,"including indomethacin and sulindac; tetracycline derivatives including @entitya$ ; thalidomide and thalidomide analogs and derivatives; 2-methoxyestradiol; tumor necrosis factor-alpha; interferon-gamma-inducible protein 10 (IP-10); interleukin 1 and interleukin 12; interferon alpha, beta or gamma; @entityb$ protein or plasminogen fragments; endostatin protein or collagen","[ 0.58189964 -0.36997172 -0.26479992 ...  0.33285424 -0.39891037
  0.8531903 ]",23
3m_052,tlr7,"TLR7 may be activated by imidazoquinolines, such as imiquimod, resiquimod and derivatives imiquimod or resiquimod ( e.g. 3M-052).",True,16801329,FORMULATION OF A PEPTIDE VACCINE,https://data.epo.org/publication-server/rest/v1.2/patents/EP3552623NWA1/document.html,epo,1571176800.0,3M-052,TLR7," @entityb$ may be activated by imidazoquinolines, such as imiquimod, resiquimod and derivatives imiquimod or resiquimod ( e.g. @entitya$ ).","[-0.84829396 -0.12671363 -0.4529717  ...  0.29081276 -0.69751847
  0.31077197]",24
betahistine,h1,"rotational behavior in UL rats; iii) the more potent H3 antagonists, thioperamide and GT-2016, were more efficacious than betahistine, a mixed H3 antagonist and H1 agonist.",True,21193263,Histaminergic ligands attenuate barrel rotation in rats following unilateral labyrinthectomy.,https://www.ncbi.nlm.nih.gov/pubmed/10022031,pubmed,912380400.0,betahistine,H 1,"rotational behavior in UL rats; iii) the more potent H3 antagonists, thioperamide and GT-2016, were more efficacious than @entitya$ , a mixed H3 antagonist and @entityb$ agonist.","[ 0.7795231   0.24973208  0.65355515 ...  0.5210657  -0.32361984
  0.58241975]",24
ly3009120,braf,"rat at 10 mg/kg administered as suspension in 20% cyclodextrin Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea (LY3009120) as a pan-RAF inhibitor with minimal paradoxical activation and activity against BRAF or RAS mutant tumor cells.",True,16578216,Oral bioavailability in Sprague-Dawley rat at 10 mg/kg administered as suspension in 20% cyclodextrin,https://pubchem.ncbi.nlm.nih.gov/bioassay/1226928,bioassay,,LY3009120,BRaf,"rat at 10 mg/kg administered as suspension in 20% cyclodextrin Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea ( @entitya$ ) as a pan-RAF inhibitor with minimal paradoxical activation and activity against @entityb$ or RAS mutant tumor cells.","[ 0.8163238  -0.21876672  0.23417233 ...  0.21164851 -0.4773861
  0.48169166]",24
trifluoperazine,tfp,"Application of EGTA, a Ca2+ chelator, and trifluoperazine dihydrochloride (TFP), a calmodulin (CaM) antagonist, markedly suppressed the generation of H2O2, affected foot cell and conidiophore development and reduced conidia",True,36869470,Transcriptome Analyses Shed New Insights into Primary Metabolism and Regulation of Blumeria graminis f. sp. tritici during Conidiation,https://doaj.org/article/6fb9988ec5a345e09a9db3669c7b7c1c,doaj,1498827324.0,trifluoperazine,TFP,"Application of EGTA, a Ca2+ chelator, and @entitya$ dihydrochloride ( @entityb$ ), a calmodulin (CaM) antagonist, markedly suppressed the generation of H2O2, affected foot cell and conidiophore development and reduced conidia","[ 0.13823512  0.13439766  0.3853782  ...  0.47011167 -0.8402649
  0.22975038]",24
trifluoperazine,tfp,The researchers used an already-licensed anti-psychotic medicine -- trifluoperazine (TFP) -- to alter the behaviour of tiny water channel 'pores' in cells known as aquaporins.,True,6245010,'Cell pores' discovery gives hope to millions of brain and spinal cord injury patients,https://www.sciencedaily.com/releases/2020/05/200514115824.htm,sciencedaily,1589407200.0,trifluoperazine,TFP,The researchers used an already-licensed anti-psychotic medicine -- @entitya$ ( @entityb$ ) -- to alter the behaviour of tiny water channel 'pores' in cells known as aquaporins.,"[-0.30952445 -0.19013177 -0.592286   ...  0.56758624 -0.04502566
  1.0212755 ]",24
trifluoperazine,tfp,1B is a diagram illustrating results of cytokine release tests for Trifluoperazine (TFP) in the embodiment 1 of the present invention.,True,45315337,TREATMENT OF CYTOKINE RELEASE SYNDROME BY DECREASING LEVEL OF PROINFLAMMATORY CYTOKINE,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220200188465%22.PGNR.&OS=DN/20200188465&RS=DN/20200188465,patent_filed,1592438400.0,trifluoperazine,TFP,1B is a diagram illustrating results of cytokine release tests for @entitya$ ( @entityb$ ) in the embodiment 1 of the present invention.,"[-0.09706212 -0.4436837  -0.65508    ...  0.08426946 -0.24271733
  0.7088621 ]",28
ly3009120,braf,"searching of cell line databases identified one additional cell line, OV-90, an ovarian adenocarcinoma with a similar BRAF N486-P490 deletion, and sensitive to LY3009120, but not vemurafenib.",True,62900787,Oncogenic BRAF Deletions That Function as Homodimers and Are Sensitive to Inhibition by RAF Dimer Inhibitor LY3009120.,https://www.ncbi.nlm.nih.gov/pubmed/26732095,pubmed,1459288800.0,LY3009120,BRaf,"searching of cell line databases identified one additional cell line, OV-90, an ovarian adenocarcinoma with a similar @entityb$ N486-P490 deletion, and sensitive to @entitya$ , but not vemurafenib.","[-0.21762224  0.23850927 -0.39655724 ... -0.25038734  0.54021984
  0.4089803 ]",28
